161010,home,0.84,0.79,food,1.85,1.51,travel,1.33,0.65,shopping,1.07,0.83,other,2.16,1.5976964486972,1.85,7.25,5.3776964486972
161092,home,1.55,1.06,food,1.8,1.29,travel,3.79,1.62,shopping,1.66,1.24,other,2.16,1.5976964486972,3.79,10.96,6.8076964486972
161111,home,0.87,0.8,food,0.21,0.19,travel,1.69,0.79,shopping,1.23,0.94,other,2.16,1.5976964486972,1.69,6.16,4.3176964486972
161213,home,1.44,1.02,food,1.72,1.41,travel,2.63,1.18,shopping,1.19,0.92,other,2.16,1.5976964486972,2.63,9.14,6.1276964486972
161223,home,1.33,0.97,food,1.04,0.83,travel,4.32,1.83,shopping,1.87,1.4,other,2.16,1.5976964486972,4.32,10.72,6.6276964486972
161265,home,1.65,1.1,food,0.62,0.51,travel,0.08,0.03,shopping,1.24,0.93,other,2.16,1.5976964486972,1.65,5.75,4.1676964486972
161296,home,1.05,0.87,food,1.23,1.02,travel,2.27,1.04,shopping,2.08,1.57,other,2.16,1.5976964486972,2.27,8.79,6.0976964486972
161468,home,0.75,0.75,food,3.36,2.54,travel,7.98,3.24,shopping,3.67,2.65,other,2.16,1.5976964486972,7.98,17.92,10.777696448697
161510,home,0.77,0.76,food,1.87,1.51,travel,19.24,7.45,shopping,2.98,2.5,other,2.16,1.5976964486972,19.24,27.02,13.817696448697
161821,home,0.85,0.79,food,1.29,1.11,travel,2.36,1.07,shopping,1.29,0.99,other,2.16,1.5976964486972,2.36,7.95,5.5576964486972
162106,home,1.14,0.9,food,1.79,1.46,travel,7.66,3.12,shopping,1.57,1.17,other,2.16,1.5976964486972,7.66,14.32,8.2476964486972
162332,home,1.48,1.03,food,1.29,1.06,travel,11.35,4.54,shopping,2.55,1.93,other,2.16,1.5976964486972,11.35,18.83,10.157696448697
162714,home,1.11,0.89,food,3.17,2.47,travel,2.19,1.01,shopping,1.69,1.31,other,2.16,1.5976964486972,3.17,10.32,7.2776964486972
163003,home,1.48,1.03,food,1.98,1.85,travel,6.41,2.64,shopping,1.66,1.28,other,2.16,1.5976964486972,6.41,13.69,8.3976964486972
163023,home,1.12,0.9,food,0.84,0.69,travel,0.06,0.02,shopping,0.76,0.45,other,2.16,1.5976964486972,1.12,4.94,3.6576964486972
163472,home,1.42,1.01,food,1.08,1.03,travel,3.2,1.4,shopping,0.85,0.54,other,2.16,1.5976964486972,3.2,8.71,5.5776964486972
163959,home,0.95,0.83,food,1.26,0.95,travel,3.63,1.56,shopping,1.56,0.98,other,2.16,1.5976964486972,3.63,9.56,5.9176964486972
163990,home,1.3,0.97,food,0.23,0.18,travel,3.92,1.67,shopping,2.59,2.08,other,2.16,1.5976964486972,3.92,10.2,6.4976964486972
163991,home,1.11,0.89,food,0.78,0.63,travel,11.25,4.5,shopping,1.84,1.24,other,2.16,1.5976964486972,11.25,17.14,8.8576964486972
164009,home,1.42,1.01,food,0.61,0.55,travel,2.95,1.3,shopping,0.87,0.61,other,2.16,1.5976964486972,2.95,8.01,5.0676964486972
164021,home,1.42,1.01,food,0.84,0.69,travel,2.95,1.3,shopping,0.89,0.62,other,2.16,1.5976964486972,2.95,8.26,5.2176964486972
164114,home,1.07,0.87,food,3.02,2.34,travel,6.25,2.57,shopping,3.74,2.89,other,2.16,1.5976964486972,6.25,16.24,10.267696448697
164325,home,1.29,0.96,food,1.11,0.96,travel,2.46,1.11,shopping,1.82,1.36,other,2.16,1.5976964486972,2.46,8.84,5.9876964486972
164369,home,2.1,1.27,food,1.74,1.41,travel,0.95,0.39,shopping,1.75,1.33,other,2.16,1.5976964486972,2.1,8.7,5.9976964486972
165106,home,1.87,1.19,food,1.81,1.56,travel,5.29,2.2,shopping,2.29,1.66,other,2.16,1.5976964486972,5.29,13.42,8.2076964486972
165262,home,1.18,0.92,food,1.48,1.12,travel,2.36,1.07,shopping,1.52,1.17,other,2.16,1.5976964486972,2.36,8.7,5.8776964486972
165440,home,1.19,0.92,food,1.68,1.36,travel,4.09,1.74,shopping,0.75,0.46,other,2.16,1.5976964486972,4.09,9.87,6.0776964486972
165446,home,0.76,0.76,food,0.45,0.37,travel,0.05,0.02,shopping,0.71,0.41,other,2.16,1.5976964486972,0.76,4.13,3.1576964486972
165929,home,1.12,0.89,food,1.22,0.93,travel,5.77,2.39,shopping,2.07,1.56,other,2.16,1.5976964486972,5.77,12.34,7.3676964486972
166105,home,1.7,1.12,food,1.46,1.29,travel,3.65,1.54,shopping,0.7,0.41,other,2.16,1.5976964486972,3.65,9.67,5.9576964486972
166560,home,1.37,0.99,food,0.43,0.35,travel,1.4,0.57,shopping,0.62,0.37,other,2.16,1.5976964486972,1.4,5.98,3.8776964486972
167626,home,1.09,0.88,food,2.25,1.84,travel,6.13,2.53,shopping,0.83,0.5,other,2.16,1.5976964486972,6.13,12.46,7.3476964486972
168073,home,1.37,0.99,food,0.45,0.34,travel,10.96,4.39,shopping,1.68,1.28,other,2.16,1.5976964486972,10.96,16.62,8.5976964486972
168191,home,1.13,0.9,food,0.74,0.55,travel,2.54,1.11,shopping,0.79,0.47,other,2.16,1.5976964486972,2.54,7.36,4.6276964486972
168272,home,0.75,0.75,food,1.61,1.3,travel,3.6,1.55,shopping,1.63,1.23,other,2.16,1.5976964486972,3.6,9.75,6.4276964486972
168285,home,0.96,0.83,food,2.11,1.52,travel,4.03,1.72,shopping,1.06,0.66,other,2.16,1.5976964486972,4.03,10.32,6.3276964486972
